Time,ASS MY LIST,CT ASSIGN,UNVIEWED
24/10/2025 05:19:25 pm,0,0,65
24/10/2025 05:59:47 pm,3,1,40
24/10/2025 06:38:27 pm,0,0,18
24/10/2025 07:12:42 pm,0,0,17
24/10/2025 07:21:46 pm,0,0,17
24/10/2025 07:45:28 pm,2,0,15
24/10/2025 08:06:28 pm,0,0,17
24/10/2025 08:23:27 pm,0,0,9
24/10/2025 08:45:17 pm,0,0,12
24/10/2025 09:04:18 pm,0,0,12
24/10/2025 09:21:36 pm,0,0,17
24/10/2025 09:48:03 pm,0,0,18
24/10/2025 10:16:05 pm,0,0,18
24/10/2025 10:26:45 pm,3,0,18
24/10/2025 10:43:49 pm,4,0,19
24/10/2025 11:01:34 pm,0,0,24
24/10/2025 11:13:23 pm,0,0,31
24/10/2025 11:21:28 pm,1,0,31
24/10/2025 11:51:10 pm,1,0,32
25/10/2025 12:16:37 am,1,0,32
25/10/2025 12:42:15 am,0,0,33
25/10/2025 12:56:34 am,0,0,33
25/10/2025 01:06:25 am,1,0,36
25/10/2025 01:19:50 am,1,0,38
25/10/2025 01:46:27 am,1,0,42
25/10/2025 02:04:50 am,4,0,53
25/10/2025 02:20:52 am,4,0,55
25/10/2025 02:42:50 am,0,0,61
25/10/2025 02:58:40 am,0,0,67
25/10/2025 03:07:49 am,0,0,68
25/10/2025 03:19:43 am,0,0,68
25/10/2025 03:44:16 am,0,0,68
25/10/2025 04:03:49 am,1,0,69
25/10/2025 04:19:43 am,1,0,69
25/10/2025 04:43:42 am,1,0,69
25/10/2025 04:58:53 am,1,0,69
25/10/2025 05:08:12 am,0,0,70
25/10/2025 05:19:58 am,0,0,70
25/10/2025 06:31:33 am,0,0,66
25/10/2025 07:57:39 am,0,0,98
25/10/2025 08:54:31 am,0,0,72
25/10/2025 09:18:36 am,0,1,72
25/10/2025 09:46:48 am,0,0,73
25/10/2025 10:10:56 am,0,0,73
25/10/2025 10:19:46 am,0,0,73
25/10/2025 10:43:58 am,0,0,73
25/10/2025 11:01:57 am,0,0,73
25/10/2025 11:19:13 am,0,1,73
25/10/2025 11:49:25 am,0,1,75
25/10/2025 12:15:26 pm,0,1,75
25/10/2025 12:23:45 pm,0,1,75
25/10/2025 12:43:36 pm,0,1,75
25/10/2025 12:57:43 pm,0,1,75
25/10/2025 01:06:30 pm,0,1,75
25/10/2025 01:19:29 pm,0,1,75
25/10/2025 01:46:52 pm,0,1,75
25/10/2025 02:11:58 pm,0,1,75
25/10/2025 02:21:08 pm,0,1,75
25/10/2025 02:43:50 pm,0,1,75
25/10/2025 02:59:26 pm,0,0,76
25/10/2025 03:08:36 pm,0,0,76
25/10/2025 03:19:11 pm,0,0,76
25/10/2025 03:43:46 pm,0,0,76
25/10/2025 04:02:48 pm,0,0,76
25/10/2025 04:19:54 pm,0,0,76
25/10/2025 04:41:15 pm,0,0,76
25/10/2025 04:54:29 pm,0,0,76
25/10/2025 05:06:20 pm,0,0,76
25/10/2025 05:19:50 pm,0,0,76
25/10/2025 05:54:41 pm,0,0,76
25/10/2025 06:29:04 pm,0,0,77
25/10/2025 06:53:24 pm,0,1,73
25/10/2025 07:08:58 pm,2,1,68
25/10/2025 07:19:46 pm,0,1,66
25/10/2025 07:42:22 pm,3,0,52
25/10/2025 08:00:34 pm,3,0,42
25/10/2025 08:11:04 pm,4,0,38
25/10/2025 08:19:48 pm,5,0,32
25/10/2025 08:43:27 pm,0,0,23
25/10/2025 08:59:34 pm,0,0,13
25/10/2025 09:09:09 pm,0,0,13
25/10/2025 09:19:42 pm,0,0,12
25/10/2025 09:45:59 pm,1,0,10
25/10/2025 10:06:30 pm,0,0,11
25/10/2025 10:21:02 pm,0,0,11
25/10/2025 10:41:55 pm,0,0,11
25/10/2025 10:58:59 pm,0,0,11
25/10/2025 11:08:33 pm,1,0,11
25/10/2025 11:19:19 pm,1,0,11
25/10/2025 11:48:39 pm,0,0,12
26/10/2025 12:14:34 am,2,0,12
26/10/2025 12:23:21 am,0,0,14
26/10/2025 12:41:07 am,0,0,14
